,month,day,temp,RH,wind,rain,area
374,9,5,10.3,78,4.0,0.0,18.3
375,9,6,15.4,57,4.9,0.0,39.35
376,8,1,21.1,54,2.2,0.0,0.0
377,8,6,21.9,42,2.2,0.0,174.63
378,3,4,8.7,51,5.8,0.0,0.0
379,1,7,5.2,100,0.9,0.0,0.0
380,7,3,19.3,39,7.2,0.0,7.73
381,8,4,16.2,63,2.7,0.0,16.33
382,8,3,28.2,29,1.8,0.0,5.86
383,8,4,20.5,58,2.7,0.0,42.87
384,8,6,21.3,44,4.5,0.0,12.18
385,8,7,20.9,50,2.2,0.0,16.0
386,9,7,20.6,55,5.4,0.0,24.59
387,3,4,11.6,48,5.4,0.0,0.0
388,8,5,23.3,34,3.1,0.0,28.74
389,8,5,23.3,34,3.1,0.0,0.0
390,2,1,7.5,71,6.3,0.0,9.96
391,9,5,20.7,46,2.7,0.0,30.18
392,9,7,21.9,43,4.0,0.0,70.76
393,3,2,15.2,19,7.6,0.0,0.0
394,2,1,5.3,68,1.8,0.0,0.0
395,2,7,10.1,62,1.8,0.0,51.78
396,9,7,20.4,55,4.9,0.0,3.64
397,8,7,24.3,33,3.6,0.0,3.63
398,8,6,25.9,32,3.1,0.0,0.0
399,6,3,28.0,34,4.5,0.0,0.0
400,6,3,28.0,34,4.5,0.0,8.16
401,9,4,22.8,46,4.0,0.0,4.95
402,8,5,25.0,36,4.0,0.0,0.0
403,8,4,21.3,41,3.6,0.0,0.0
404,9,3,21.8,34,2.2,0.0,6.04
405,8,2,27.9,27,2.2,0.0,0.0
406,9,6,17.0,67,4.9,0.0,3.95
407,2,6,14.2,46,4.0,0.0,0.0
408,9,5,19.9,44,3.1,0.0,7.8
409,7,2,23.4,31,5.4,0.0,0.0
410,2,5,14.7,42,2.7,0.0,0.0
411,2,5,8.2,53,9.4,0.0,4.62
412,7,1,22.8,27,4.5,0.0,1.63
413,8,6,26.4,33,3.6,0.0,0.0
414,8,7,24.1,50,4.0,0.0,0.0
415,8,4,27.5,27,4.9,0.0,746.28
416,7,2,26.3,39,3.1,0.0,7.02
417,3,3,13.8,24,5.8,0.0,0.0
418,8,7,24.9,42,5.4,0.0,2.44
419,8,7,24.8,36,4.0,0.0,3.05
420,8,3,26.2,36,4.5,0.0,185.76
421,8,3,30.8,19,4.5,0.0,0.0
422,7,7,29.3,27,3.6,0.0,6.3
423,9,6,22.3,48,4.0,0.0,0.72
424,8,6,26.9,31,3.6,0.0,4.96
425,8,4,20.4,56,2.2,0.0,0.0
426,8,4,20.4,56,2.2,0.0,0.0
427,8,1,27.9,33,2.2,0.0,2.35
428,8,4,26.2,34,5.8,0.0,0.0
429,8,7,24.6,44,4.0,0.0,3.2
430,9,4,19.4,45,3.6,0.0,0.0
431,8,6,23.3,40,4.0,0.0,6.36
432,8,4,23.9,38,6.7,0.0,0.0
433,8,7,20.9,66,4.9,0.0,15.34
434,8,5,22.2,45,3.6,0.0,0.0
435,7,6,23.8,51,1.8,0.0,0.0
436,8,1,26.8,35,1.3,0.0,0.54
437,8,6,14.2,73,2.7,0.0,0.0
438,8,6,23.6,53,4.0,0.0,6.43
439,9,5,19.1,46,2.2,0.0,0.33
440,9,5,16.2,58,3.6,0.0,0.0
441,8,1,25.5,29,1.8,0.0,1.23
442,4,1,10.9,64,3.1,0.0,3.35
443,7,5,14.8,78,8.0,0.0,0.0
444,9,5,16.2,58,3.6,0.0,9.96
445,8,7,17.3,80,4.5,0.0,0.0
446,8,7,19.1,70,2.2,0.0,0.0
447,3,3,8.9,35,8.0,0.0,0.0
448,9,3,10.5,77,4.0,0.0,0.0
449,8,7,19.3,61,4.9,0.0,0.0
450,8,3,23.4,49,5.4,0.0,6.43
451,8,5,11.8,88,4.9,0.0,9.71
452,8,1,17.7,65,4.0,0.0,0.0
453,8,4,17.4,54,3.1,0.0,0.0
454,8,4,16.8,56,3.1,0.0,0.0
455,7,1,17.9,48,2.7,0.0,0.0
456,8,4,16.6,59,2.7,0.0,0.0
457,8,3,19.9,50,4.0,0.0,82.75
458,8,6,18.9,64,4.9,0.0,3.32
459,8,6,15.5,72,8.0,0.0,1.94
460,8,6,18.9,64,4.9,0.0,0.0
461,8,6,18.9,64,4.9,0.0,0.0
462,9,7,14.5,76,7.6,0.0,3.71
463,2,2,4.6,82,6.3,0.0,5.39
464,2,2,5.1,77,5.4,0.0,2.14
465,2,6,4.6,59,0.9,0.0,6.84
466,3,1,10.2,45,5.8,0.0,3.18
467,3,3,11.2,41,5.4,0.0,5.55
468,3,4,13.3,27,3.6,0.0,6.61
469,4,7,13.7,33,9.4,0.0,61.13
470,4,7,17.6,27,5.8,0.0,0.0
471,5,5,18.0,40,4.0,0.0,38.48
472,6,1,14.3,79,4.0,0.0,1.94
473,6,6,24.5,50,3.1,0.0,70.32
474,6,4,26.4,35,2.7,0.0,10.08
475,6,4,22.7,40,9.4,0.0,3.19
476,7,4,27.2,28,1.3,0.0,1.76
477,7,7,26.1,45,4.0,0.0,7.36
478,7,7,18.2,82,4.5,0.0,2.21
479,7,1,22.6,57,4.9,0.0,278.53
480,7,4,30.2,25,4.5,0.0,2.75
481,7,4,30.2,22,4.9,0.0,0.0
482,8,7,23.4,40,5.8,0.0,1.29
483,8,7,31.0,27,5.4,0.0,0.0
484,8,7,33.1,25,4.0,0.0,26.43
485,8,1,30.6,28,3.6,0.0,2.07
486,8,2,24.1,43,6.3,0.0,2.0
487,8,2,26.4,34,3.6,0.0,16.4
488,8,2,19.4,71,7.6,0.0,46.7
489,8,3,20.6,58,1.3,0.0,0.0
490,8,3,28.7,33,4.0,0.0,0.0
491,8,4,32.4,21,4.5,0.0,0.0
492,8,5,32.4,27,2.2,0.0,0.0
493,8,5,27.5,29,4.5,0.0,43.32
494,8,6,30.8,30,4.9,0.0,8.59
495,8,1,23.9,42,2.2,0.0,0.0
496,8,1,32.6,26,3.1,0.0,2.77
497,8,2,32.3,27,2.2,0.0,14.68
498,8,2,33.3,26,2.7,0.0,40.54
499,8,2,27.3,63,4.9,6.4,10.82
500,8,2,21.6,65,4.9,0.8,0.0
501,8,2,21.6,65,4.9,0.8,0.0
502,8,2,20.7,69,4.9,0.4,0.0
503,8,3,29.2,30,4.9,0.0,1.95
504,8,3,28.9,29,4.9,0.0,49.59
505,8,4,26.7,35,1.8,0.0,5.8
506,8,5,18.5,73,8.5,0.0,0.0
507,8,5,25.9,41,3.6,0.0,0.0
508,8,5,25.9,41,3.6,0.0,0.0
509,8,5,21.1,71,7.6,1.4,2.17
510,8,5,18.2,62,5.4,0.0,0.43
511,8,7,27.8,35,2.7,0.0,0.0
512,8,7,27.8,32,2.7,0.0,6.44
513,8,7,21.9,71,5.8,0.0,54.29
514,8,7,21.2,70,6.7,0.0,11.16
515,8,6,25.6,42,4.0,0.0,0.0
516,11,2,11.8,31,4.5,0.0,0.0
